gender,age,Salary,Rent,Groceries,Utilities,Transportation,Healthcare,Entertainment,Savings,Others,Investment_Recommendation
Male,26,430775,55927,55354,34265,33909,49677,78662,17604,105377,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,805048,152681,95300,57797,76154,105155,149090,18580,150291,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,947633,181897,128605,94709,54463,129648,149844,33679,174788,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,315653,35474,44949,28524,24765,28636,48440,17800,87065,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,666745,96914,90746,62220,65858,90398,100402,21788,138419,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,914131,158144,99258,69521,48190,63989,137966,60459,276604,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,392752,48070,46057,37863,33471,20888,62147,23391,120865,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,490835,77416,54922,47469,39610,50832,88103,22921,109562,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,592165,77689,71007,35821,35121,85531,110722,26273,150001,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,406110,49847,45776,21484,29127,32968,75056,20921,130931,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,657423,77550,66554,35082,55204,62698,116251,46295,197789,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,501170,99750,55552,41674,31657,26093,94179,20099,132166,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,31,430648,59579,55733,39427,35076,59113,70487,20000,91233,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,616209,73060,90977,51992,37450,89188,114949,19887,138706,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,290131,35202,36530,14879,17516,26828,48948,16133,94095,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,109811,14030,14203,10234,6136,11172,17197,6325,30514,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,784115,109467,100579,46391,44885,77475,131559,53121,220638,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,533998,94268,73389,50829,28927,56187,95705,26426,108267,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,805895,104134,90294,44336,40957,115205,147878,46966,216125,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,31,182144,23346,23555,9690,13530,26912,35304,6665,43142,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,243561,47776,27178,23739,23642,31644,44212,8504,36866,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,144665,18705,20607,11703,7329,12257,22771,10165,41128,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,441567,65280,55138,36197,30216,28123,84386,16923,125304,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,363648,54959,40443,19961,33859,53562,72017,16939,71908,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,574591,101935,67030,31060,40429,42074,89995,21286,180782,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,896298,154665,90142,79348,51400,51942,138460,55235,275106,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,537428,66930,65043,41849,49996,65945,87878,18080,141707,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,709891,74920,81694,44798,51685,84000,131175,31012,210607,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,287838,39720,31391,25741,15210,34454,54383,15453,71486,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,333867,42048,39627,26502,21248,29075,53370,17810,104187,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,497106,51928,69590,26768,37751,40107,88921,35670,146371,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,470807,77475,47913,33672,35546,48784,86661,17983,122773,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,380290,42929,45496,37200,22573,53392,67384,16218,95098,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,774660,145794,95229,66782,54188,108766,142926,27360,133615,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,935573,124218,128958,76533,58006,61798,177590,60434,248036,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,131557,19183,17043,12220,9585,19100,23521,5627,25278,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,211078,40291,29715,12236,17191,18964,32324,8595,51762,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,718920,90489,102412,37143,70418,61494,120660,24016,212288,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,25,121713,14426,14613,11741,6692,17591,23548,4814,28288,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,680879,90332,76011,54963,35170,35107,116730,29112,243454,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,25,105444,13201,11710,6607,5963,5399,16425,7468,38671,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,23,831689,164197,124352,58595,48361,94710,145142,39058,157274,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,630810,67200,87785,40637,39155,73332,102382,36702,183617,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,173183,26277,20991,13462,11145,20896,29570,6917,43925,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,146904,26864,21484,7683,9054,12465,28022,8206,33126,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,80737,15897,11727,5234,8041,6051,12538,4146,17103,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,581537,71728,78210,30774,50324,80352,95152,24133,150864,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,744007,102249,102256,46047,43593,70628,122927,47140,209167,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,776713,96137,97182,75441,63457,106199,153021,32437,152839,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,414361,70424,61490,41320,30079,23655,68220,13733,105440,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,140163,19868,14936,11242,9691,19558,27807,5733,31328,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,334278,42615,43326,31702,23512,35169,54682,15031,88241,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,107883,15122,12128,8123,7068,9419,19014,6479,30530,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,822286,109652,120225,76568,43116,61971,141685,29722,239347,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,146107,19702,20017,12277,11852,17687,23413,5522,35637,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,909792,152503,130975,70221,58349,48240,168782,28294,252428,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,767171,105308,97068,73729,41791,69501,116008,35414,228352,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,856213,138898,97568,51790,47764,92226,158197,45104,224666,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,472556,92095,47319,38920,37814,51449,93632,11321,100006,Diversify into more Fixed Deposits or Government Bonds.
Female,26,611545,103748,86035,46166,40789,78941,94705,23240,137921,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,469514,71364,63243,25609,28823,42740,85059,28809,123867,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,596660,96589,63648,59087,55841,59828,117015,22296,122356,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,457636,88017,64753,45038,43928,24531,72644,16493,102232,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,929423,181437,106885,53928,87659,87960,181603,26680,203271,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,26,646367,107369,78865,34790,54827,48309,98235,23740,200232,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,270932,28748,39390,23570,25712,31769,47805,9645,64293,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,818915,163616,96722,60217,56433,121161,129989,25335,165442,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,21,843308,141705,86996,67770,62306,66115,136549,42689,239178,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,198084,27096,24330,13247,19516,12547,30671,9495,61182,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,331540,52749,44081,23162,33142,28244,61690,14488,73984,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,565832,102588,84202,53465,49922,67801,94367,13025,100462,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,326062,34649,36550,23351,24813,41510,64540,11246,89403,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,69359,7678,8981,6053,6409,9959,13814,2305,14160,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,438516,60530,47092,36944,36326,59729,67910,19469,110516,Diversify into more Fixed Deposits or Government Bonds.
Female,23,235331,37208,26375,13755,21881,13144,40837,9164,72967,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,206199,30044,30723,14678,19147,12729,33726,9146,56006,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,22,562479,78736,75130,37819,48198,64077,95598,23326,139595,Diversify into more Fixed Deposits or Government Bonds.
Male,29,161261,26036,16691,14694,13332,19776,28518,4688,37526,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,883669,124159,106278,58368,45507,109332,137401,48611,254013,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,401845,68443,52939,39364,22168,54939,60863,15829,87300,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,330896,46466,41762,22585,19698,17178,58207,23035,101965,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,168101,23084,18683,9082,9122,12127,26056,8849,61098,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,271113,28905,28001,25163,15753,28729,51152,13604,79806,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,524547,60500,57690,37583,40082,44557,99178,32386,152571,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,372768,71840,37816,35333,25955,51381,68790,16227,65426,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,25,804543,141542,95119,60383,55368,69586,131177,37604,213764,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,886565,149097,100951,67573,49532,58500,135060,64217,261635,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,678078,68070,73862,54682,36663,93703,126110,44241,180747,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,822112,123945,94559,63693,79367,83918,134301,45495,196834,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,246225,33780,24640,15361,16229,33456,42578,11583,68598,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,293138,39166,42222,28508,29195,25701,58131,12582,57633,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,384900,64497,43203,23411,22441,54762,63395,16448,96743,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,709122,105940,98503,65389,40387,65729,136253,35801,161120,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,150928,16639,16273,9842,8115,13956,23451,9825,52827,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,666045,83026,86467,37216,65801,95415,112954,23001,162165,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,144355,18050,17925,7506,11835,13112,24377,9327,42223,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,684226,116937,101072,46251,64917,86894,114862,24859,128434,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,501898,64673,72133,27916,30426,34281,85399,32648,154422,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,912941,139398,113555,45672,65065,51449,146447,67896,283459,Diversify into more Fixed Deposits or Government Bonds.
Female,26,277456,33722,39653,25011,16081,30679,43223,15393,73694,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,528967,86616,74371,39127,50645,29059,87091,27794,134264,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,35,84777,12022,9211,4693,7703,8250,16456,4583,21859,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,598112,84317,70981,45326,56493,74003,89871,30007,147114,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,319978,61420,43364,18831,23735,20489,53740,19061,79338,Diversify into more Fixed Deposits or Government Bonds.
Male,21,455634,87632,52007,30519,36456,66668,71712,13907,96733,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,466059,87319,58068,44251,27626,48128,77512,16214,106941,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,400922,58008,48774,27210,38388,49383,74723,13471,90965,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,358367,56540,49798,32174,24092,45544,66941,9506,73772,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,835867,155968,102031,62122,60532,89258,151341,32153,182462,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,383714,71631,50415,26887,27180,50299,64237,11274,81791,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,852953,90360,122656,81821,47770,71177,135422,33895,269852,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,541378,102855,55677,53610,29680,73815,96541,17673,111527,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,510110,68474,70328,33529,42271,51895,88886,29416,125311,Diversify into more Fixed Deposits or Government Bonds.
Male,31,921091,143197,130190,79471,47830,117265,148152,48528,206458,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,156990,16373,18313,8632,11583,20723,25889,6385,49092,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,844507,112342,118817,48153,51826,48040,156475,43092,265762,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,35,168483,22085,22902,11254,14555,22159,27106,9558,38864,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,443570,51559,50807,26166,29841,43473,78117,30326,133281,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,74254,14030,8243,6025,4127,7121,12335,2945,19428,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,898371,133191,122620,48026,84410,110932,142684,49741,206767,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,542452,81710,81363,32473,41631,42867,89618,27492,145298,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,97073,18655,13616,8367,7568,13807,16951,3393,14716,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,832658,152708,92168,73741,42140,68514,134456,40524,228407,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,294907,51221,30931,22338,28583,21488,54221,13719,72406,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,878217,88706,108716,75034,45842,121152,154570,29291,254906,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,124570,15253,18397,9855,6898,9810,21530,4372,38455,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,140577,19844,17498,8742,11166,17618,22744,6962,36003,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,509572,83551,75125,45308,47093,50469,81158,25321,101547,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,476522,53816,58885,25448,46314,69807,88619,18040,115593,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,621238,77927,70365,35016,47395,39872,103024,40284,207355,Diversify into more Fixed Deposits or Government Bonds.
Male,27,400840,69247,40570,28662,33112,54244,69652,20746,84607,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,807531,102204,81299,59909,50718,106894,130528,36171,239808,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,304482,54540,41336,23720,25956,27971,45753,8617,76589,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,945043,142817,98440,49666,92875,128432,148940,28406,255467,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,34,925360,179674,105414,54869,78263,56346,151049,59202,240543,Diversify into more Fixed Deposits or Government Bonds.
Female,24,139904,22937,17633,9779,12413,8967,27752,7523,32900,Diversify into more Fixed Deposits or Government Bonds.
Female,32,392982,63571,40141,33420,37594,40264,65907,12557,99528,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,487136,85488,70270,26799,42843,25188,96625,22598,117325,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,411014,63807,47183,39648,26015,54589,81897,17455,80420,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,428915,65152,44309,31577,30844,30144,73421,20837,132631,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,556814,64796,67970,35157,42375,29798,108752,37774,170192,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,434314,67431,61929,42615,24116,49114,86819,20334,81956,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,434131,69605,46192,34366,21751,30342,85874,19425,126576,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,438040,71768,49955,42661,37859,36342,83047,12900,103508,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,685084,95386,76086,57675,37763,61454,112239,36827,207654,Diversify into more Fixed Deposits or Government Bonds.
Female,31,414792,55993,56130,21249,33888,30304,67792,26902,122534,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,829613,162236,96092,75777,45794,94077,155595,23124,176918,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,303998,43350,43969,16774,15475,33154,52220,17817,81239,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,925560,178027,106400,64253,68782,100715,184365,37854,185164,Diversify into more Fixed Deposits or Government Bonds.
Female,34,412893,57373,46735,40146,23443,50384,81038,18940,94834,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,224610,31963,24696,15357,19169,25820,44113,11853,51639,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,592574,107620,86263,37816,40577,52140,105492,27136,135530,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,431938,55578,43614,30219,28260,62293,83974,23812,104188,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,688587,113823,80712,53326,62497,41220,130869,21463,184677,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,190317,34570,26716,10001,15484,19078,30164,6236,48068,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,844240,149706,108387,83706,83675,126017,131643,31226,129880,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,73640,9165,9051,6471,4432,7852,11730,2755,22184,Diversify into more Fixed Deposits or Government Bonds.
Female,31,498879,55703,58809,25060,35541,58079,84852,19635,161200,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,63912,6792,7280,3737,6280,4162,12161,3727,19773,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,241658,37923,30353,23825,16479,31124,42958,8234,50762,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,81752,15986,10621,4574,5794,10477,15099,3680,15521,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,838420,105589,115626,61199,65967,121994,166816,37461,163768,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,906147,123154,130834,74241,64789,48546,170815,44127,249641,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,31,542284,96862,74510,48631,35266,70540,96224,17717,102534,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,592285,99215,59861,32644,38267,87835,92981,24148,157334,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,506222,53207,59007,33419,49276,68095,85621,16150,141447,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,297507,54474,39576,17142,29692,17857,57525,10515,70726,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,35,130381,18714,18224,10936,12633,14618,20195,6607,28454,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,376412,66593,51039,19832,26278,25123,71931,19661,95955,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,824502,155260,122297,73164,82212,91913,125206,17694,156756,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,391213,52505,55229,36503,38355,22108,59554,24291,102668,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,914905,119399,117016,90687,64064,106666,155574,46238,215261,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,151757,23184,16978,9646,9546,15666,28099,9481,39157,Diversify into more Fixed Deposits or Government Bonds.
Male,26,687531,116474,95608,40184,47236,62825,126725,25721,172758,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,233584,30443,27515,21143,18425,13438,35951,11885,74784,Diversify into more Fixed Deposits or Government Bonds.
Male,30,676597,119527,90958,57781,59784,53259,120037,27047,148204,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,421582,73340,62328,26939,37801,48902,75468,17182,79622,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,699001,135888,71182,40102,61382,40807,122889,27660,199091,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,21,430128,54811,58107,22156,40288,40625,75324,21378,117439,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,732700,120569,85904,40339,48299,48955,130279,34052,224303,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,61913,12123,9181,5015,5007,9196,12034,1652,7705,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,505302,66376,59766,30350,37573,75309,98841,15331,121756,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,73429,7528,10642,5644,4406,8618,13380,2604,20607,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,184349,23221,18989,11152,10437,12780,33971,7745,66054,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,336051,37028,35860,22121,21822,25374,63019,26140,104687,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,881921,135285,129828,61585,48800,80147,145346,41954,238976,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,463304,76771,57011,44828,43661,55688,80839,11827,92679,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,175616,24534,23747,11282,9694,24725,32568,7926,41140,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,730948,131022,103635,54217,68753,103533,119567,24149,126072,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,884827,135076,112282,85725,57743,131258,172636,27731,162376,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,120155,21838,16636,10080,7929,8368,22058,6127,27119,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,705241,71670,93191,50879,66930,57934,122507,36677,205453,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,753574,85941,102218,68970,39861,59637,114470,55268,227209,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,322613,53785,47814,24704,29069,28210,54099,11706,73226,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,103295,17125,12186,9815,10243,5479,16494,3554,28399,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,23,134253,13994,14954,9712,12331,9691,23454,9671,40446,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,700839,116845,98050,54350,69399,76298,106721,21465,157711,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,225560,31686,29337,19984,15937,27294,42742,7717,50863,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,753400,149118,99813,70857,58612,93542,142036,26605,112817,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,470191,54088,60144,33581,45213,28451,93629,29085,126000,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,688777,73963,85786,59151,59860,96876,130863,23895,158383,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,308082,46164,41619,17537,18392,30224,50807,19248,84091,Diversify into more Fixed Deposits or Government Bonds.
Male,29,206984,32833,24307,19134,18679,31014,39817,5828,35372,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,404271,45582,57419,21421,27294,57396,80061,18883,96215,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,32,861547,145485,87984,65240,66635,72379,132187,35839,255798,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,441094,59900,53706,35087,37987,36065,73419,14778,130152,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,664271,69142,74990,57800,54082,84348,125179,36896,161834,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,31,243645,41915,36291,23132,19330,26512,36964,11891,47610,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,285273,32281,39087,25974,19585,19879,44200,18232,86035,Diversify into more Fixed Deposits or Government Bonds.
Female,35,311009,45179,42200,29785,17830,44137,53052,10289,68537,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,517439,100542,77374,31018,42866,31382,94456,25546,114255,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,823766,138763,99566,56966,57380,89767,159875,42719,178730,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,25,595340,62721,64940,33108,35522,50402,104379,39803,204465,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,75741,13119,10945,7533,6297,10190,14308,1745,11604,Diversify into more Fixed Deposits or Government Bonds.
Male,26,903800,169525,92312,45207,57560,86954,164418,31712,256112,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,154275,25810,21613,9143,10916,15736,26626,7997,36434,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,24,366130,71781,51239,19734,33042,20745,59239,12724,97626,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,327247,39188,41369,27353,24058,47768,53019,16660,77832,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,706915,132206,90558,51471,56418,65659,125661,26205,158737,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,619338,86736,83467,33842,36124,83685,116779,22900,155805,Consider increasing investment in Mutual Funds or Equity Market.
